,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1142958,85.0
1,Memento,2000,8.5,80,981382,85.0
2,Snatch,2000,8.3,55,687213,83.0
3,Requiem for a Dream,2000,8.3,68,666717,83.0
4,X-Men,2000,7.4,64,512518,74.0
5,Cast Away,2000,7.8,73,450419,78.0
6,American Psycho,2000,7.6,64,409322,76.0
7,Unbreakable,2000,7.3,62,297886,73.0
8,Meet the Parents,2000,7.0,73,284355,70.0
9,Mission: Impossible II,2000,6.1,59,271727,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,251549,78.0
11,Gone in Sixty Seconds,2000,6.5,35,238100,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,233731,79.0
13,The Patriot,2000,7.2,63,229177,72.0
14,Almost Famous,2000,7.9,90,227452,79.0
15,Pitch Black,2000,7.1,49,208830,71.0
16,Scary Movie,2000,6.2,48,206922,62.0
17,"Me, Myself & Irene",2000,6.6,49,202948,66.0
18,Final Destination,2000,6.7,36,202084,67.0
19,The Beach,2000,6.6,43,199728,66.0
20,Amores Perros,2000,8.1,83,199365,81.0
21,Traffic,2000,7.6,86,181720,76.0
22,Remember the Titans,2000,7.8,48,177924,78.0
23,What Women Want,2000,6.4,47,174484,64.0
24,How the Grinch Stole Christmas,2000,6.1,46,166851,61.0
25,Chocolat,2000,7.3,64,163406,73.0
26,Miss Congeniality,2000,6.2,43,159049,62.0
27,Charlie's Angels,2000,5.5,52,157916,55.0
28,Chicken Run,2000,7.0,88,156954,70.0
29,High Fidelity,2000,7.5,79,154433,75.0
30,Battle Royale,2000,7.7,81,153745,77.0
31,Erin Brockovich,2000,7.3,73,151532,73.0
32,The Emperor's New Groove,2000,7.3,70,150212,73.0
33,Road Trip,2000,6.5,55,144367,65.0
34,The Perfect Storm,2000,6.4,59,142881,64.0
35,"Dude, Where's My Car?",2000,5.5,30,125451,55.0
36,Hollow Man,2000,5.7,24,111193,57.0
37,Scream 3,2000,5.5,56,109446,55.0
38,Billy Elliot,2000,7.7,74,109004,77.0
39,The 6th Day,2000,5.9,49,107473,59.0
40,Shanghai Noon,2000,6.6,77,107384,66.0
41,What Lies Beneath,2000,6.6,51,106761,66.0
42,Pay It Forward,2000,7.2,40,104351,72.0
43,The Whole Nine Yards,2000,6.7,47,99081,67.0
44,Coyote Ugly,2000,5.6,27,98064,56.0
45,In the Mood for Love,2000,8.1,85,97831,81.0
46,Men of Honor,2000,7.2,56,97745,72.0
47,The Family Man,2000,6.7,42,93882,67.0
48,Frequency,2000,7.4,67,91086,74.0
49,Dancer in the Dark,2000,8.0,61,89230,80.0
50,Bedazzled,2000,6.0,49,88597,60.0
51,Little Nicky,2000,5.3,38,88262,53.0
52,The Cell,2000,6.3,40,86732,63.0
53,Bring It On,2000,6.0,52,77865,60.0
54,Finding Forrester,2000,7.3,62,77345,73.0
55,Malèna,2000,7.5,54,75552,75.0
56,Big Momma's House,2000,5.1,33,73505,51.0
57,Battlefield Earth,2000,2.4,9,70621,24.0
58,U-571,2000,6.6,62,70476,66.0
59,The Road to El Dorado,2000,6.9,51,70474,69.0
60,Space Cowboys,2000,6.4,73,66080,64.0
61,Mission to Mars,2000,5.6,34,65364,56.0
62,Shaft,2000,5.9,50,63289,59.0
63,Romeo Must Die,2000,6.1,52,61501,61.0
64,Wonder Boys,2000,7.4,73,57584,74.0
65,The Gift,2000,6.7,62,56793,67.0
66,Titan A.E.,2000,6.6,48,55190,66.0
67,Vertical Limit,2000,5.9,48,53672,59.0
68,The Crimson Rivers,2000,6.9,49,52798,69.0
69,The Replacements,2000,6.5,30,52674,65.0
70,Proof of Life,2000,6.2,45,51906,62.0
71,Red Planet,2000,5.7,34,51210,57.0
72,Best in Show,2000,7.5,78,49867,75.0
73,The Legend of Bagger Vance,2000,6.7,47,49351,67.0
74,Thirteen Days,2000,7.3,67,49152,73.0
75,Sexy Beast,2000,7.3,79,48192,73.0
76,Quills,2000,7.3,70,47933,73.0
77,Keeping the Faith,2000,6.4,60,47073,64.0
78,Boiler Room,2000,7.0,63,45126,70.0
79,Dinosaur,2000,6.5,56,44753,65.0
80,Nine Queens,2000,7.9,80,43961,79.0
81,Nutty Professor II: The Klumps,2000,4.4,38,43878,44.0
82,Rules of Engagement,2000,6.4,45,40524,64.0
83,28 Days,2000,6.0,46,38648,60.0
84,The Kid,2000,6.1,45,37010,61.0
85,Shadow of the Vampire,2000,6.9,71,36713,69.0
86,Ginger Snaps,2000,6.8,70,36607,68.0
87,Tigerland,2000,7.0,55,35526,70.0
88,Reindeer Games,2000,5.7,37,34117,57.0
89,Small Time Crooks,2000,6.7,69,33778,67.0
90,Chopper,2000,7.2,65,33745,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,32536,40.0
92,Next Friday,2000,6.1,41,32064,61.0
93,Nurse Betty,2000,6.2,69,31375,62.0
94,102 Dalmatians,2000,4.9,35,30062,49.0
95,Get Carter,2000,5.1,24,29778,51.0
96,Dracula 2000,2000,4.9,26,29471,49.0
97,Where the Heart Is,2000,6.8,30,29339,68.0
98,Dungeons & Dragons,2000,3.7,14,29337,37.0
99,The Way of the Gun,2000,6.7,49,29331,67.0
100,The Skulls,2000,5.6,24,28881,56.0
101,The Art of War,2000,5.7,30,26848,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,25643,77.0
103,You Can Count on Me,2000,7.7,85,25253,77.0
104,Pollock,2000,7.0,77,24946,70.0
105,Loser,2000,5.3,35,24552,53.0
106,The Watcher,2000,5.3,22,23735,53.0
107,Autumn in New York,2000,5.6,24,22428,56.0
108,Before Night Falls,2000,7.3,85,22254,73.0
109,Joint Security Area,2000,7.9,58,22244,79.0
110,The Contender,2000,7.0,59,21577,70.0
111,Brother,2000,7.2,47,20089,72.0
112,Under Suspicion,2000,6.5,43,19900,65.0
113,The Million Dollar Hotel,2000,5.9,25,19517,59.0
114,State and Main,2000,6.8,75,19200,68.0
115,Together,2000,7.5,84,18893,75.0
116,Bounce,2000,5.7,52,18729,57.0
117,In July,2000,7.8,71,18711,78.0
118,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17884,42.0
119,The Flintstones in Viva Rock Vegas,2000,3.6,27,17881,36.0
120,My Dog Skip,2000,7.0,61,17879,70.0
121,Highlander: Endgame,2000,4.6,21,17793,46.0
122,Return to Me,2000,6.9,54,17765,69.0
123,The Yards,2000,6.4,58,17728,64.0
124,Center Stage,2000,6.7,52,17059,67.0
125,Flickering Lights,2000,7.7,47,16770,77.0
126,Dr. T & the Women,2000,4.6,64,16513,46.0
127,Saving Grace,2000,6.9,62,16421,69.0
128,Love & Basketball,2000,7.2,70,16056,72.0
129,Supernova,2000,4.8,19,15848,48.0
130,Yi Yi,2000,8.1,93,15802,81.0
131,Rape Me,2000,4.5,35,15600,45.0
132,Songs from the Second Floor,2000,7.7,76,14903,77.0
133,The Tigger Movie,2000,6.3,53,14859,63.0
134,Boys and Girls,2000,5.4,29,14769,54.0
135,Urban Legends: Final Cut,2000,4.2,16,14283,42.0
136,The Dish,2000,7.2,74,13833,72.0
137,The Princess and the Warrior,2000,7.5,64,13546,75.0
138,Gossip,2000,5.9,31,13359,59.0
139,The Man Who Cried,2000,6.2,40,13314,62.0
140,Down to You,2000,4.9,13,13183,49.0
141,Bless the Child,2000,5.1,17,12971,51.0
142,Ready to Rumble,2000,5.3,23,12608,53.0
143,Drowning Mona,2000,5.6,25,12396,56.0
144,Cecil B. DeMented,2000,6.2,57,12242,62.0
145,All the Pretty Horses,2000,5.8,55,12161,58.0
146,Italian for Beginners,2000,7.1,77,12018,71.0
147,Gangster No. 1,2000,6.8,60,11918,68.0
148,Animal Factory,2000,6.6,65,11574,66.0
149,The Ladies Man,2000,5.1,22,11480,51.0
150,The Isle,2000,7.0,61,11220,70.0
151,Blood: The Last Vampire,2000,6.7,44,11009,67.0
152,Hanging Up,2000,4.8,33,10962,48.0
153,Anatomy,2000,6.1,33,10792,61.0
154,Werckmeister Harmonies,2000,8.2,92,10490,82.0
155,Snow Day,2000,5.0,34,10310,50.0
156,The Next Best Thing,2000,4.7,25,9990,47.0
157,Code Unknown,2000,7.2,74,9977,72.0
158,Lost Souls,2000,4.8,16,9888,48.0
159,Bait,2000,5.8,39,9785,58.0
160,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1425948,88.0
161,A Beautiful Mind,2001,8.2,72,727590,82.0
162,"Monsters, Inc.",2001,8.1,78,696047,81.0
163,Donnie Darko,2001,8.1,88,669126,81.0
164,Amélie,2001,8.3,69,621185,83.0
165,Shrek,2001,7.9,84,530155,79.0
166,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529923,76.0
167,Spirited Away,2001,8.6,96,516951,86.0
